                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 0.6918,                 3.1696,                0.27012,                0.44754,                 1.0118,                0.97606,                0.98053,                0.99109,                0.89808,                 0.8599,                0.84068,                0.85341,                0.69082,                0.54645,                 1.9818,                0.07326,                0.30599,                 0.8476,              0.0060895,              0.0060895,              0.0060895
                     81,                0.69386,                 3.1868,                0.26756,                0.44794,                  1.012,                0.97621,                0.98053,                0.99109,                0.89845,                0.86071,                0.83991,                0.85345,                0.69118,                0.54607,                 1.9803,                0.07317,                0.30595,                0.84744,                0.00604,                0.00604,                0.00604
                     82,                0.69048,                 3.1408,                 0.2677,                0.44512,                 1.0104,                0.97602,                0.98066,                 0.9911,                0.89821,                0.86058,                0.84033,                0.85356,                0.69141,                0.54601,                 1.9798,                0.07312,                0.30581,                0.84743,              0.0059905,              0.0059905,              0.0059905
                     83,                0.68831,                 3.1542,                0.26756,                0.44463,                 1.0109,                0.97666,                0.98068,                0.99112,                0.89871,                0.86015,                0.84119,                0.85389,                0.69158,                0.54588,                 1.9791,                0.07301,                0.30566,                0.84738,               0.005941,               0.005941,               0.005941
                     84,                0.69193,                 3.1678,                0.26639,                0.44544,                 1.0139,                 0.9769,                0.98079,                 0.9911,                0.89831,                0.86054,                0.84119,                0.85388,                0.69201,                 0.5458,                 1.9758,                0.07298,                0.30567,                0.84735,              0.0058915,              0.0058915,              0.0058915
                     85,                0.68835,                 3.1374,                0.26855,                0.44171,                 1.0078,                0.97682,                0.98105,                 0.9911,                0.89877,                0.86074,                0.84228,                0.85458,                0.69269,                0.54577,                 1.9699,                0.07286,                0.30543,                0.84723,               0.005842,               0.005842,               0.005842
                     86,                0.69323,                 3.1357,                 0.2654,                0.44522,                 1.0139,                0.97689,                0.98105,                 0.9911,                  0.899,                0.86113,                 0.8426,                0.85507,                0.69311,                0.54537,                 1.9648,                0.07277,                0.30521,                0.84711,              0.0057925,              0.0057925,              0.0057925
                     87,                0.68683,                  3.109,                0.26702,                0.44195,                   1.01,                0.97667,                0.98121,                0.99108,                0.89914,                0.86147,                0.84343,                0.85533,                0.69334,                0.54518,                 1.9626,                0.07278,                0.30501,                0.84704,               0.005743,               0.005743,               0.005743
                     88,                0.68886,                 3.1312,                0.26515,                0.44292,                 1.0113,                0.97691,                 0.9813,                0.99107,                  0.899,                 0.8614,                0.84453,                0.85597,                0.69429,                0.54486,                  1.955,                0.07261,                 0.3049,                0.84694,              0.0056935,              0.0056935,              0.0056935
                     89,                0.68576,                 3.1026,                0.26416,                0.44234,                 1.0106,                0.97685,                0.98143,                0.99107,                0.89898,                0.86278,                0.84465,                0.85623,                0.69455,                0.54461,                 1.9516,                0.07244,                0.30462,                0.84685,               0.005644,               0.005644,               0.005644
                     90,                 0.6898,                 3.1443,                0.26541,                0.44905,                 1.0143,                0.97667,                0.98133,                0.99108,                0.89924,                0.86306,                0.84503,                0.85622,                0.69436,                 0.5442,                 1.9488,                0.07231,                0.30432,                0.84674,              0.0055945,              0.0055945,              0.0055945
                     91,                0.68358,                 3.0911,                0.26274,                0.43971,                 1.0098,                0.97665,                0.98143,                0.99106,                0.89924,                0.86359,                0.84593,                0.85638,                 0.6946,                0.54379,                 1.9448,                0.07215,                0.30428,                0.84663,               0.005545,               0.005545,               0.005545
